Attaching 1 probe...
Attaching 1 probe...
Attaching 1 probe...
swapper/2 0 2 1396015848972491
bpftrace 45300 5 1396015848976497
bpftrace 45300 5 1396015848976217
swapper/5 0 5 1396015848980012
swapper/5 0 5 1396015848979791
bpftrace 45309 2 1396015848976976
swapper/2 0 2 1396015848980411
bpftrace 45309 2 1396015848976657
swapper/2 0 2 1396015848980214
bpftrace 45309 2 1396015848987561
bpftrace 45309 2 1396015848987880
swapper/2 0 2 1396015848989181
swapper/2 0 2 1396015848989414
bpftrace 45309 2 1396015848993832
swapper/2 0 2 1396015848996368
bpftrace 45309 2 1396015848993511
bpftrace 45300 5 1396015848994545
swapper/5 0 5 1396015848997089
swapper/2 0 2 1396015848996173
bpftrace 45300 5 1396015848994264
swapper/5 0 5 1396015848996856
bpftrace 45309 2 1396015849003558
swapper/2 0 2 1396015849005045
bpftrace 45309 2 1396015849003244
swapper/2 0 2 1396015849004847
bpftrace 45309 2 1396015849009060
bpftrace 45309 2 1396015849009397
swapper/2 0 2 1396015849010677
swapper/2 0 2 1396015849010883
bpftrace 45309 2 1396015849015524
swapper/2 0 2 1396015849020299
bpftrace 45300 5 1396015849016081
swapper/5 0 5 1396015849024401
bpftrace 45309 2 1396015849015204
swapper/2 0 2 1396015849020099
bpftrace 45309 2 1396015849027774
bpftrace 45309 2 1396015849028086
swapper/2 0 2 1396015849029648
swapper/2 0 2 1396015849029419
bpftrace 45309 2 1396015849033707
bpftrace 45309 2 1396015849035878
swapper/2 0 2 1396015849039520
swapper/2 0 2 1396015849039322
bpftrace 45300 5 1396015849015791
swapper/5 0 5 1396015849024117
bpftrace 45309 2 1396015849043779
swapper/2 0 2 1396015849045229
bpftrace 45309 2 1396015849043540
swapper/2 0 2 1396015849045033
bpftrace 45309 2 1396015849049190
bpftrace 45309 2 1396015849049506
swapper/2 0 2 1396015849050806
swapper/2 0 2 1396015849051044
bpftrace 45309 2 1396015849055464
swapper/2 0 2 1396015849057884
bpftrace 45309 2 1396015849055143
bpftrace 45300 5 1396015849055829
swapper/2 0 2 1396015849057684
swapper/5 0 5 1396015849058471
bpftrace 45300 5 1396015849055548
swapper/5 0 5 1396015849058242
bpftrace 45309 2 1396015849064797
bpftrace 45309 2 1396015849065116
swapper/2 0 2 1396015849066480
swapper/2 0 2 1396015849066679
bpftrace 45309 2 1396015849071989
bpftrace 45309 2 1396015849071696
swapper/2 0 2 1396015849074536
swapper/2 0 2 1396015849074342
bpftrace 45300 5 1396015849072010
bpftrace 45300 5 1396015849071765
swapper/5 0 5 1396015849075127
swapper/5 0 5 1396015849074921
bpftrace 45309 2 1396015849082611
swapper/2 0 2 1396015849084352
bpftrace 45309 2 1396015849082929
swapper/2 0 2 1396015849084634
bpftrace 45300 5 1396015849087905
bpftrace 45309 2 1396015849088697
swapper/5 0 5 1396015849092752
swapper/2 0 2 1396015849092334
bpftrace 45309 2 1396015849088991
swapper/2 0 2 1396015849092530
bpftrace 45300 5 1396015849087681
swapper/5 0 5 1396015849092520
bpftrace 45309 2 1396015849100125
bpftrace 45309 2 1396015849100415
swapper/2 0 2 1396015849102309
swapper/2 0 2 1396015849102591
bpftrace 45309 2 1396015849107119
swapper/2 0 2 1396015849109514
bpftrace 45309 2 1396015849106803
bpftrace 45300 5 1396015849107266
swapper/2 0 2 1396015849109304
swapper/5 0 5 1396015849110260
bpftrace 45300 5 1396015849107017
swapper/5 0 5 1396015849109992
bpftrace 45309 2 1396015849116956
bpftrace 45309 2 1396015849116659
swapper/2 0 2 1396015849118740
swapper/2 0 2 1396015849118529
bpftrace 45309 2 1396015849123429
swapper/2 0 2 1396015849125138
bpftrace 45309 2 1396015849123749
swapper/2 0 2 1396015849125374
bpftrace 45300 5 1396015849129205
bpftrace 45300 5 1396015849128933
swapper/5 0 5 1396015849133732
swapper/5 0 5 1396015849133464
bpftrace 45309 2 1396015849129744
swapper/2 0 2 1396015849133582
bpftrace 45309 2 1396015849129424
swapper/2 0 2 1396015849133384
bpftrace 45309 2 1396015849141427
bpftrace 45309 2 1396015849141746
swapper/2 0 2 1396015849143102
swapper/2 0 2 1396015849143330
bpftrace 45300 5 1396015849148092
swapper/5 0 5 1396015849150272
bpftrace 45300 5 1396015849147825
swapper/5 0 5 1396015849150024
bpftrace 45309 2 1396015849153940
bpftrace 45309 2 1396015849154230
swapper/2 0 2 1396015849155632
swapper/2 0 2 1396015849155931
bpftrace 45309 2 1396015849160574
swapper/2 0 2 1396015849163201
bpftrace 45309 2 1396015849160251
bpftrace 45300 5 1396015849160954
swapper/2 0 2 1396015849163007
swapper/5 0 5 1396015849163778
bpftrace 45300 5 1396015849160676
swapper/5 0 5 1396015849163512
bpftrace 45309 2 1396015849170266
bpftrace 45309 2 1396015849170594
swapper/2 0 2 1396015849172131
swapper/2 0 2 1396015849171932
bpftrace 45309 2 1396015849177284
swapper/2 0 2 1396015849180062
bpftrace 45309 2 1396015849176923
bpftrace 45300 5 1396015849178238
swapper/2 0 2 1396015849179864
swapper/5 0 5 1396015849180772
bpftrace 45300 5 1396015849177965
swapper/5 0 5 1396015849180535
bpftrace 45309 2 1396015849187468
bpftrace 45309 2 1396015849187149
swapper/2 0 2 1396015849189033
swapper/2 0 2 1396015849188836
bpftrace 45309 2 1396015849193102
swapper/2 0 2 1396015849194736
bpftrace 45309 2 1396015849193423
swapper/2 0 2 1396015849194963
bpftrace 45300 5 1396015849198774
bpftrace 45309 2 1396015849198979
swapper/5 0 5 1396015849203477
swapper/2 0 2 1396015849202833
bpftrace 45309 2 1396015849199303
swapper/2 0 2 1396015849203035
bpftrace 45300 5 1396015849198502
swapper/5 0 5 1396015849203191
bpftrace 45309 2 1396015849211920
bpftrace 45309 2 1396015849212244
swapper/2 0 2 1396015849214021
swapper/2 0 2 1396015849213818
bpftrace 45309 2 1396015849218693
swapper/2 0 2 1396015849220277
bpftrace 45309 2 1396015849218954
swapper/2 0 2 1396015849220532
bpftrace 45300 5 1396015849224428
bpftrace 45309 2 1396015849224698
swapper/5 0 5 1396015849228871
swapper/2 0 2 1396015849228393
bpftrace 45309 2 1396015849225018
swapper/2 0 2 1396015849228590
bpftrace 45300 5 1396015849224162
swapper/5 0 5 1396015849228606
